,PopDensity,Forest,Rainfall,TempMin,TempMax,StagWater,WasteLand,Dengue,Class_value
58,0.080068,0.42515699999999995,0.002558,0.15929200000000002,0.140496,1,0,0.008348999999999999,0.0
59,0.136286,0.72327,0.000205,0.15929200000000002,0.140496,1,1,0.016697999999999998,1.0
60,0.045429000000000004,0.577358,0.003171,0.15929200000000002,0.140496,1,0,0.003853,0.0
61,0.16184,0.196226,0.000102,0.15929200000000002,0.140496,1,0,0.001927,0.0
62,0.153322,0.0,0.00040899999999999997,0.15929200000000002,0.140496,0,0,0.000642,0.0
63,0.09029,0.194969,0.006138,0.15929200000000002,0.140496,1,1,0.0,0.0
64,0.09767200000000001,0.638994,0.002558,0.15929200000000002,0.140496,0,1,0.001927,0.0
65,0.051675,0.573585,0.001125,0.15929200000000002,0.140496,0,1,0.001284,0.0
66,0.036911,0.173585,0.000174,0.15044200000000002,0.338843,0,0,0.000338,0.0
67,0.0636,0.52956,0.000338,0.15044200000000002,0.338843,0,1,0.00020299999999999997,0.0
68,0.049404,0.5647800000000001,0.0,0.15044200000000002,0.338843,1,0,0.000338,0.0
69,0.123225,0.23521999999999998,0.000123,0.15044200000000002,0.338843,0,1,0.000676,0.0
70,0.104486,0.104403,0.0,0.15044200000000002,0.338843,0,1,0.00020299999999999997,0.0
71,0.033504,0.664151,0.0,0.15044200000000002,0.338843,0,0,6.8e-05,0.0
72,0.328223,0.255346,0.000123,0.15044200000000002,0.338843,0,1,0.0,0.0
73,0.176036,0.538365,0.0,0.15044200000000002,0.338843,1,0,0.0,0.0
74,0.046564,0.14213800000000001,0.0,0.15044200000000002,0.338843,0,1,0.00047300000000000006,0.0
75,0.113572,0.120755,8.2e-05,0.15044200000000002,0.338843,1,0,0.000608,0.0
76,0.0795,0.205031,0.0,0.15044200000000002,0.338843,0,1,0.00047300000000000006,0.0
77,0.072686,0.354717,0.018598,0.15044200000000002,0.338843,0,1,0.001217,0.0
78,0.097104,0.12578599999999998,0.0,0.15044200000000002,0.338843,0,0,0.00047300000000000006,0.0
79,0.109029,0.11195,0.0,0.15044200000000002,0.338843,0,1,0.0010140000000000001,0.0
80,0.133447,0.064151,0.0,0.15044200000000002,0.338843,0,1,0.001149,0.0
81,0.482112,0.152201,0.0,0.15044200000000002,0.338843,1,0,0.001893,0.0
82,0.044293,0.48805,0.0,0.15044200000000002,0.338843,1,1,0.001352,0.0
83,0.123225,0.432704,0.0,0.15044200000000002,0.338843,0,0,0.001217,0.0
84,0.08404299999999999,0.314465,6.1e-05,0.15044200000000002,0.338843,0,1,0.0008789999999999999,0.0
85,0.075525,0.215094,0.0,0.15044200000000002,0.338843,0,0,0.00047300000000000006,0.0
86,0.53322,0.226415,0.0,0.15044200000000002,0.338843,0,1,0.0,0.0
87,0.13458299999999998,0.592453,0.0,0.15044200000000002,0.338843,0,1,0.001217,0.0
88,0.061897,0.422642,0.0,0.15044200000000002,0.338843,0,1,0.000541,0.0
89,0.17774,0.42893100000000006,0.0,0.15044200000000002,0.338843,0,1,0.00027,0.0
90,0.064736,0.132075,0.000194,0.15044200000000002,0.338843,1,1,0.00020299999999999997,0.0
91,0.014196,0.58239,0.0,0.15044200000000002,0.338843,0,0,0.00027,0.0
92,0.051675,0.567296,0.0,0.15044200000000002,0.338843,1,1,0.00020299999999999997,0.0
93,0.0,0.6830189999999999,0.0,0.15044200000000002,0.338843,0,1,0.000135,0.0
94,1.0,0.8553459999999999,0.0,0.15044200000000002,0.338843,1,0,0.002569,0.0
95,0.010221,1.0,0.0,0.15044200000000002,0.338843,1,1,0.0009460000000000001,0.0
96,0.036343,0.42138400000000004,0.0,0.15044200000000002,0.338843,1,1,0.002163,0.0
97,0.115843,0.23144699999999999,0.0,0.15044200000000002,0.338843,0,0,0.001217,0.0
98,0.057353999999999995,0.45283,0.0,0.15044200000000002,0.338843,1,0,0.0,0.0
99,0.059057000000000005,0.660377,0.004604,0.15044200000000002,0.338843,0,0,0.000135,0.0
100,0.039182,0.679245,0.0,0.15044200000000002,0.338843,1,0,0.00020299999999999997,0.0
101,0.044861,0.08050299999999999,0.00133,0.15044200000000002,0.338843,0,0,0.001149,0.0
102,0.003407,0.308176,0.0,0.15044200000000002,0.338843,0,1,0.000608,0.0
103,0.014196,0.283019,0.0,0.15044200000000002,0.338843,1,1,0.0014199999999999998,0.0
104,0.033504,0.25157199999999996,0.0,0.15044200000000002,0.338843,0,1,0.001082,0.0
105,0.019875,0.203774,0.0,0.15044200000000002,0.338843,1,1,0.001893,0.0
106,0.010789,0.354717,0.0,0.15044200000000002,0.338843,1,0,0.0014869999999999998,0.0
107,0.042589,0.13081800000000002,0.000123,0.15044200000000002,0.338843,0,1,0.002163,0.0
108,0.003407,0.569811,0.0,0.15044200000000002,0.338843,0,0,0.0010140000000000001,0.0
109,0.021011000000000002,0.299371,0.000368,0.15044200000000002,0.338843,1,0,0.0,0.0
110,0.151618,0.051572,0.0,0.15044200000000002,0.338843,0,1,0.000811,0.0
111,0.08290700000000001,0.177358,0.0,0.15044200000000002,0.338843,0,1,0.001893,0.0
112,0.027825,0.318239,0.0,0.15044200000000002,0.338843,1,1,0.0009460000000000001,0.0
113,0.053378999999999996,0.056603999999999995,0.0,0.15044200000000002,0.338843,0,1,0.0017579999999999998,0.0
114,0.045429000000000004,0.01761,0.0,0.15044200000000002,0.338843,0,0,0.000608,0.0
115,0.056218,0.295597,8.2e-05,0.15044200000000002,0.338843,1,1,0.000811,0.0
116,0.340148,0.264151,0.0,0.15044200000000002,0.338843,1,1,0.005814,0.0
117,0.035207,0.222642,0.000379,0.15044200000000002,0.338843,0,0,0.0014869999999999998,0.0
118,0.023282,0.12327,0.0,0.15044200000000002,0.338843,1,0,0.0,0.0
119,0.006246,0.752201,6.1e-05,0.15044200000000002,0.338843,0,0,0.0020280000000000003,0.0
120,0.040886,0.215094,0.000675,0.15044200000000002,0.338843,0,1,0.001352,0.0
121,0.10562200000000001,0.144654,0.0,0.15044200000000002,0.338843,1,0,0.003177,0.0
122,0.14821099999999998,0.12704400000000002,0.0,0.15044200000000002,0.338843,1,1,0.003853,0.0
123,0.051675,0.310692,0.001535,0.15044200000000002,0.338843,0,0,0.0014869999999999998,0.0
124,0.080068,0.42515699999999995,0.000348,0.15044200000000002,0.338843,1,1,0.0008789999999999999,0.0
125,0.136286,0.72327,0.0,0.15044200000000002,0.338843,1,1,0.0017579999999999998,0.0
126,0.045429000000000004,0.577358,0.000164,0.15044200000000002,0.338843,1,1,0.00040599999999999995,0.0
127,0.16184,0.196226,0.0,0.15044200000000002,0.338843,1,1,0.00020299999999999997,0.0
